id_cliente;nome;email;telefone;cidade;estado;data_inicio;valor_mensal;status;data_nascimento;idade;faixa_etaria;inadimplente;faixa_valor
1;Srta. Isis Ramos;ycarvalhosilveira.com;8,21E+18;Carvalho;AP;04/06/2025;78.19;inadimplente;22/08/1988;37;31-45;1;0-80
2;Sr. João Guilherme Nascimento;qmoreiragmail.com;3,58E+19;Azevedo Grande;SP;13/11/2024;155.7;inadimplente;10/01/1983;42;31-45;1;121-160
3;Dr. Igor Monteiro;joao-pedrocarvalhoaraujo.org;+55 (041) 0059 8614;Sales;ES;12/06/2025;166.97;inadimplente;18/05/1988;37;31-45;1;161-200
4;Sofia da Rocha;gcavalcantigmail.com;+55 51 7323 0192;da Conceição;RO;29/07/2025;53.01;inadimplente;22/10/2006;19;19-30;1;0-80
5;Sr. Daniel Martins;jjesus@bol.com.br;+55 (081) 3404 3537;da Conceição;PI;29/01/2025;141.25;inadimplente;14/03/1980;45;31-45;1;121-160
6;Daniela da Rosa;kdias@almeida.com;+55 (031) 9791 7017;Araújo Grande;PR;15/03/2025;118.85;inadimplente;11/01/1988;37;31-45;1;81-120
7;Renan Ramos;lda-mata@hotmail.com;(021) 5710 1807;Rocha do Amparo;AL;06/04/2025;126.73;inadimplente;12/01/1974;51;46-60;1;121-160
8;Sr. Ryan da Rosa;souzalara@goncalves.org;+55 (031) 1984 1157;Porto Verde;RO;07/05/2025;100.44;inadimplente;20/10/1982;43;31-45;1;81-120
9;Pedro Lucas Nunes;otaviocarvalho@souza.br;+55 21 6975-3037;da Cruz dos Dourados;PB;23/11/2024;94.82;inadimplente;26/02/1994;31;31-45;1;81-120
10;Gustavo Oliveira;thalesteixeira@hotmail.com;81 2223-9516;Peixoto do Amparo;CE;21/10/2024;110.61;inadimplente;07/12/1978;47;46-60;1;81-120
11;Milena Gonçalves;peixotofrancisco@ig.com.br;21 6751-8127;Campos;MT;08/04/2025;112.78;inadimplente;09/10/1972;53;46-60;1;81-120
12;Sabrina Duarte;joao-gabriel60@uol.com.br;+55 (031) 5306 6435;Pires;SC;04/11/2024;157.01;inadimplente;23/08/1959;66;60+;1;121-160
13;Pedro Mendes;sramos@ig.com.br;(041) 5868 2645;Rocha;AP;07/09/2024;75.5;inadimplente;10/07/1957;68;60+;1;0-80
14;Maria Alice Pires;ssilveira@hotmail.com;31 5147-0604;Gonçalves de Duarte;RJ;05/02/2025;164.44;inadimplente;08/03/1991;34;31-45;1;161-200
15;Marcelo Rocha;alicelima@yahoo.com.br;+55 (084) 8079-2248;Dias de Ramos;MA;14/05/2025;180.71;inadimplente;18/11/1969;56;46-60;1;161-200
16;Maria Clara da Mata;kaiquepeixoto@da.br;+55 71 4824-8286;Rezende Alegre;CE;28/05/2025;120.58;inadimplente;20/03/2001;24;19-30;1;121-160
17;Marcos Vinicius Viana;brendasales@peixoto.com;(021) 5974 7494;Azevedo;PI;20/05/2025;111.97;inadimplente;29/01/1994;31;31-45;1;81-120
18;Sra. Isadora Barbosa;evelynda-rocha@fernandes.com;(041) 8051 2367;Rocha do Norte;MA;14/05/2025;118.64;inadimplente;22/03/1979;46;46-60;1;81-120
20;Júlia Pinto;kda-costa@moreira.br;+55 51 7472 8612;Costela de Farias;BA;13/05/2025;123.44;inadimplente;16/09/1999;26;19-30;1;121-160
22;Natália Souza;luiz-miguel69@ramos.org;+55 84 4544 7456;Teixeira das Pedras;MG;09/02/2025;98.33;inadimplente;19/12/1959;66;60+;1;81-120
23;Daniel Nunes;erick59@peixoto.org;(031) 9186-9672;Campos;PB;31/05/2025;87.32;inadimplente;17/09/1976;49;46-60;1;81-120
24;Kamilly Souza;fogacajoao-miguel@da.com;+55 (084) 3419 7012;Caldeira do Sul;PI;24/11/2024;95.92;inadimplente;30/09/2001;24;19-30;1;81-120
25;Otávio Fernandes;gporto@cavalcanti.com;0800 040 8963;Teixeira;TO;29/10/2024;159.17;inadimplente;01/08/1960;65;60+;1;121-160
26;Melissa Martins;bernardo16@costa.org;(031) 4206 1952;da Conceição de Goiás;AC;27/06/2025;101.41;inadimplente;18/08/1963;62;60+;1;81-120
28;Ana Sophia Novaes;rsouza@cunha.com;+55 61 8609 6615;da Costa;PB;13/05/2025;81.68;inadimplente;21/08/2005;20;19-30;1;81-120
29;Lara Campos;caueda-mata@ig.com.br;+55 (011) 8253-7520;da Rocha das Flores;SP;19/01/2025;104.99;inadimplente;02/04/2004;21;19-30;1;81-120
30;Júlia Sales;cavalcanticaio@gmail.com;61 9742 3764;Cardoso do Norte;PA;24/09/2024;165.69;inadimplente;31/03/2003;22;19-30;1;161-200
31;Rodrigo Moreira;vvieira@viana.br;0300 670 7484;da Mata da Serra;MA;27/08/2024;66.22;inadimplente;01/11/2005;20;19-30;1;0-80
